,0
2023-08-13,740373.0138189886
2023-08-14,740373.0138189886
2023-08-15,740373.0138189886
2023-08-16,740373.0138189886
2023-08-17,740373.0138189886
2023-08-18,740373.0138189886
2023-08-19,740373.0138189886
2023-08-20,740373.0138189886
2023-08-21,740373.0138189886
2023-08-22,740373.0138189886
2023-08-23,740373.0138189886
2023-08-24,740373.0138189886
2023-08-25,740373.0138189886
2023-08-26,740373.0138189886
2023-08-27,740373.0138189886
2023-08-28,740373.0138189886
2023-08-29,740373.0138189886
2023-08-30,740373.0138189886
2023-08-31,740373.0138189886
2023-09-01,740373.0138189886
2023-09-02,740373.0138189886
2023-09-03,740373.0138189886
2023-09-04,740373.0138189886
2023-09-05,740373.0138189886
2023-09-06,740373.0138189886
2023-09-07,740373.0138189886
2023-09-08,740373.0138189886
2023-09-09,740373.0138189886
2023-09-10,740373.0138189886
2023-09-11,740373.0138189886
2023-09-12,740373.0138189886
2023-09-13,740373.0138189886
2023-09-14,740373.0138189886
2023-09-15,740373.0138189886
2023-09-16,740373.0138189886
2023-09-17,740373.0138189886
2023-09-18,740373.0138189886
2023-09-19,740373.0138189886
2023-09-20,740373.0138189886
2023-09-21,740373.0138189886
2023-09-22,740373.0138189886
2023-09-23,740373.0138189886
2023-09-24,740373.0138189886
2023-09-25,740373.0138189886
2023-09-26,740373.0138189886
2023-09-27,740373.0138189886
2023-09-28,740373.0138189886
2023-09-29,740373.0138189886
2023-09-30,740373.0138189886
2023-10-01,740373.0138189886
2023-10-02,740373.0138189886
2023-10-03,740373.0138189886
2023-10-04,740373.0138189886
2023-10-05,740373.0138189886
2023-10-06,740373.0138189886
2023-10-07,740373.0138189886
2023-10-08,740373.0138189886
2023-10-09,740373.0138189886
2023-10-10,740373.0138189886
2023-10-11,740373.0138189886
2023-10-12,740373.0138189886
2023-10-13,740373.0138189886
2023-10-14,740373.0138189886
2023-10-15,740373.0138189886
2023-10-16,740373.0138189886
2023-10-17,740373.0138189886
2023-10-18,740373.0138189886
2023-10-19,740373.0138189886
2023-10-20,740373.0138189886
2023-10-21,740373.0138189886
2023-10-22,740373.0138189886
2023-10-23,740373.0138189886
2023-10-24,740373.0138189886
2023-10-25,740373.0138189886
2023-10-26,740373.0138189886
2023-10-27,740373.0138189886
2023-10-28,740373.0138189886
2023-10-29,740373.0138189886
2023-10-30,740373.0138189886
2023-10-31,740373.0138189886
2023-11-01,740373.0138189886
2023-11-02,740373.0138189886
2023-11-03,740373.0138189886
2023-11-04,740373.0138189886
2023-11-05,740373.0138189886
2023-11-06,740373.0138189886
2023-11-07,740373.0138189886
2023-11-08,740373.0138189886
2023-11-09,740373.0138189886
2023-11-10,740373.0138189886
2023-11-11,740373.0138189886
2023-11-12,740373.0138189886
2023-11-13,740373.0138189886
2023-11-14,740373.0138189886
2023-11-15,740373.0138189886
2023-11-16,740373.0138189886
2023-11-17,740373.0138189886
2023-11-18,740373.0138189886
2023-11-19,740373.0138189886
2023-11-20,740373.0138189886
2023-11-21,740373.0138189886
2023-11-22,740373.0138189886
2023-11-23,740373.0138189886
2023-11-24,740373.0138189886
2023-11-25,740373.0138189886
2023-11-26,740373.0138189886
2023-11-27,740373.0138189886
2023-11-28,740373.0138189886
2023-11-29,740373.0138189886
2023-11-30,740373.0138189886
2023-12-01,740373.0138189886
2023-12-02,740373.0138189886
2023-12-03,740373.0138189886
2023-12-04,740373.0138189886
2023-12-05,740373.0138189886
2023-12-06,740373.0138189886
2023-12-07,740373.0138189886
2023-12-08,740373.0138189886
2023-12-09,740373.0138189886
2023-12-10,740373.0138189886
2023-12-11,740373.0138189886
2023-12-12,740373.0138189886
2023-12-13,740373.0138189886
2023-12-14,740373.0138189886
2023-12-15,740373.0138189886
2023-12-16,740373.0138189886
2023-12-17,740373.0138189886
2023-12-18,740373.0138189886
2023-12-19,740373.0138189886
2023-12-20,740373.0138189886
2023-12-21,740373.0138189886
2023-12-22,740373.0138189886
2023-12-23,740373.0138189886
2023-12-24,740373.0138189886
2023-12-25,740373.0138189886
2023-12-26,740373.0138189886
2023-12-27,740373.0138189886
2023-12-28,740373.0138189886
2023-12-29,740373.0138189886
2023-12-30,740373.0138189886
2023-12-31,740373.0138189886
2024-01-01,740373.0138189886
2024-01-02,740373.0138189886
2024-01-03,740373.0138189886
2024-01-04,740373.0138189886
2024-01-05,740373.0138189886
2024-01-06,740373.0138189886
2024-01-07,740373.0138189886
2024-01-08,740373.0138189886
2024-01-09,740373.0138189886
2024-01-10,740373.0138189886
2024-01-11,740373.0138189886
2024-01-12,740373.0138189886
2024-01-13,740373.0138189886
2024-01-14,740373.0138189886
2024-01-15,740373.0138189886
2024-01-16,740373.0138189886
2024-01-17,740373.0138189886
2024-01-18,740373.0138189886
2024-01-19,740373.0138189886
2024-01-20,740373.0138189886
2024-01-21,740373.0138189886
2024-01-22,740373.0138189886
2024-01-23,740373.0138189886
2024-01-24,740373.0138189886
2024-01-25,740373.0138189886
2024-01-26,740373.0138189886
2024-01-27,740373.0138189886
2024-01-28,740373.0138189886
2024-01-29,740373.0138189886
2024-01-30,740373.0138189886
2024-01-31,740373.0138189886
2024-02-01,740373.0138189886
2024-02-02,740373.0138189886
2024-02-03,740373.0138189886
2024-02-04,740373.0138189886
2024-02-05,740373.0138189886
2024-02-06,740373.0138189886
2024-02-07,740373.0138189886
2024-02-08,740373.0138189886
2024-02-09,740373.0138189886
2024-02-10,740373.0138189886
2024-02-11,740373.0138189886
2024-02-12,740373.0138189886
2024-02-13,740373.0138189886
2024-02-14,740373.0138189886
2024-02-15,740373.0138189886
2024-02-16,740373.0138189886
2024-02-17,740373.0138189886
2024-02-18,740373.0138189886
2024-02-19,740373.0138189886
2024-02-20,740373.0138189886
2024-02-21,740373.0138189886
2024-02-22,740373.0138189886
2024-02-23,740373.0138189886
2024-02-24,740373.0138189886
2024-02-25,740373.0138189886
2024-02-26,740373.0138189886
2024-02-27,740373.0138189886
2024-02-28,740373.0138189886
2024-02-29,740373.0138189886
2024-03-01,740373.0138189886
2024-03-02,740373.0138189886
2024-03-03,740373.0138189886
2024-03-04,740373.0138189886
2024-03-05,740373.0138189886
2024-03-06,740373.0138189886
2024-03-07,740373.0138189886
2024-03-08,740373.0138189886
2024-03-09,740373.0138189886
2024-03-10,740373.0138189886
2024-03-11,740373.0138189886
2024-03-12,740373.0138189886
2024-03-13,740373.0138189886
2024-03-14,740373.0138189886
2024-03-15,740373.0138189886
2024-03-16,740373.0138189886
2024-03-17,740373.0138189886
2024-03-18,740373.0138189886
2024-03-19,740373.0138189886
2024-03-20,740373.0138189886
2024-03-21,740373.0138189886
2024-03-22,740373.0138189886
2024-03-23,740373.0138189886
2024-03-24,740373.0138189886
2024-03-25,740373.0138189886
2024-03-26,740373.0138189886
2024-03-27,740373.0138189886
2024-03-28,740373.0138189886
2024-03-29,740373.0138189886
2024-03-30,740373.0138189886
2024-03-31,740373.0138189886
2024-04-01,740373.0138189886
2024-04-02,740373.0138189886
2024-04-03,740373.0138189886
2024-04-04,740373.0138189886
2024-04-05,740373.0138189886
2024-04-06,740373.0138189886
2024-04-07,740373.0138189886
2024-04-08,740373.0138189886
2024-04-09,740373.0138189886
2024-04-10,740373.0138189886
2024-04-11,740373.0138189886
2024-04-12,740373.0138189886
2024-04-13,740373.0138189886
2024-04-14,740373.0138189886
2024-04-15,740373.0138189886
2024-04-16,740373.0138189886
2024-04-17,740373.0138189886
2024-04-18,740373.0138189886
2024-04-19,740373.0138189886
2024-04-20,740373.0138189886
2024-04-21,740373.0138189886
2024-04-22,740373.0138189886
2024-04-23,740373.0138189886
2024-04-24,740373.0138189886
2024-04-25,740373.0138189886
2024-04-26,740373.0138189886
2024-04-27,740373.0138189886
2024-04-28,740373.0138189886
2024-04-29,740373.0138189886
2024-04-30,740373.0138189886
2024-05-01,740373.0138189886
2024-05-02,740373.0138189886
2024-05-03,740373.0138189886
2024-05-04,740373.0138189886
2024-05-05,740373.0138189886
2024-05-06,740373.0138189886
2024-05-07,740373.0138189886
2024-05-08,740373.0138189886
2024-05-09,740373.0138189886
2024-05-10,740373.0138189886
2024-05-11,740373.0138189886
2024-05-12,740373.0138189886
2024-05-13,740373.0138189886
2024-05-14,740373.0138189886
2024-05-15,740373.0138189886
2024-05-16,740373.0138189886
2024-05-17,740373.0138189886
2024-05-18,740373.0138189886
2024-05-19,740373.0138189886
2024-05-20,740373.0138189886
2024-05-21,740373.0138189886
2024-05-22,740373.0138189886
2024-05-23,740373.0138189886
2024-05-24,740373.0138189886
2024-05-25,740373.0138189886
2024-05-26,740373.0138189886
2024-05-27,740373.0138189886
2024-05-28,740373.0138189886
2024-05-29,740373.0138189886
2024-05-30,740373.0138189886
2024-05-31,740373.0138189886
2024-06-01,740373.0138189886
2024-06-02,740373.0138189886
2024-06-03,740373.0138189886
2024-06-04,740373.0138189886
2024-06-05,740373.0138189886
2024-06-06,740373.0138189886
2024-06-07,740373.0138189886
2024-06-08,740373.0138189886
2024-06-09,740373.0138189886
2024-06-10,740373.0138189886
2024-06-11,740373.0138189886
2024-06-12,740373.0138189886
2024-06-13,740373.0138189886
2024-06-14,740373.0138189886
2024-06-15,740373.0138189886
2024-06-16,740373.0138189886
2024-06-17,740373.0138189886
2024-06-18,740373.0138189886
2024-06-19,740373.0138189886
2024-06-20,740373.0138189886
2024-06-21,740373.0138189886
2024-06-22,740373.0138189886
2024-06-23,740373.0138189886
2024-06-24,740373.0138189886
2024-06-25,740373.0138189886
2024-06-26,740373.0138189886
2024-06-27,740373.0138189886
2024-06-28,740373.0138189886
2024-06-29,740373.0138189886
2024-06-30,740373.0138189886
2024-07-01,740373.0138189886
2024-07-02,740373.0138189886
2024-07-03,740373.0138189886
2024-07-04,740373.0138189886
2024-07-05,740373.0138189886
2024-07-06,740373.0138189886
2024-07-07,740373.0138189886
2024-07-08,740373.0138189886
2024-07-09,740373.0138189886
2024-07-10,740373.0138189886
2024-07-11,740373.0138189886
2024-07-12,740373.0138189886
2024-07-13,740373.0138189886
2024-07-14,740373.0138189886
2024-07-15,740373.0138189886
2024-07-16,740373.0138189886
2024-07-17,740373.0138189886
2024-07-18,740373.0138189886
2024-07-19,740373.0138189886
2024-07-20,740373.0138189886
2024-07-21,740373.0138189886
2024-07-22,740373.0138189886
2024-07-23,740373.0138189886
2024-07-24,740373.0138189886
2024-07-25,740373.0138189886
2024-07-26,740373.0138189886
2024-07-27,740373.0138189886
2024-07-28,740373.0138189886
2024-07-29,740373.0138189886
2024-07-30,740373.0138189886
2024-07-31,740373.0138189886
2024-08-01,740373.0138189886
2024-08-02,740373.0138189886
2024-08-03,740373.0138189886
2024-08-04,740373.0138189886
2024-08-05,740373.0138189886
2024-08-06,740373.0138189886
2024-08-07,740373.0138189886
2024-08-08,740373.0138189886
2024-08-09,740373.0138189886
2024-08-10,740373.0138189886
2024-08-11,740373.0138189886
2024-08-12,740373.0138189886
2024-08-13,740373.0138189886
2024-08-14,740373.0138189886
2024-08-15,740373.0138189886
2024-08-16,740373.0138189886
2024-08-17,740373.0138189886
2024-08-18,740373.0138189886
2024-08-19,740373.0138189886
2024-08-20,740373.0138189886
2024-08-21,740373.0138189886
2024-08-22,740373.0138189886
2024-08-23,740373.0138189886
2024-08-24,740373.0138189886
2024-08-25,740373.0138189886
2024-08-26,740373.0138189886
2024-08-27,740373.0138189886
2024-08-28,740373.0138189886
2024-08-29,740373.0138189886
2024-08-30,740373.0138189886
2024-08-31,740373.0138189886
2024-09-01,740373.0138189886
2024-09-02,740373.0138189886
2024-09-03,740373.0138189886
2024-09-04,740373.0138189886
2024-09-05,740373.0138189886
2024-09-06,740373.0138189886
2024-09-07,740373.0138189886
2024-09-08,740373.0138189886
2024-09-09,740373.0138189886
2024-09-10,740373.0138189886
2024-09-11,740373.0138189886
2024-09-12,740373.0138189886
2024-09-13,740373.0138189886
2024-09-14,740373.0138189886
2024-09-15,740373.0138189886
2024-09-16,740373.0138189886
2024-09-17,740373.0138189886
2024-09-18,740373.0138189886
2024-09-19,740373.0138189886
2024-09-20,740373.0138189886
2024-09-21,740373.0138189886
2024-09-22,740373.0138189886
2024-09-23,740373.0138189886
2024-09-24,740373.0138189886
2024-09-25,740373.0138189886
2024-09-26,740373.0138189886
2024-09-27,740373.0138189886
2024-09-28,740373.0138189886
2024-09-29,740373.0138189886
2024-09-30,740373.0138189886
2024-10-01,740373.0138189886
2024-10-02,740373.0138189886
2024-10-03,740373.0138189886
2024-10-04,740373.0138189886
2024-10-05,740373.0138189886
2024-10-06,740373.0138189886
2024-10-07,740373.0138189886
2024-10-08,740373.0138189886
2024-10-09,740373.0138189886
2024-10-10,740373.0138189886
2024-10-11,740373.0138189886
2024-10-12,740373.0138189886
2024-10-13,740373.0138189886
2024-10-14,740373.0138189886
2024-10-15,740373.0138189886
2024-10-16,740373.0138189886
2024-10-17,740373.0138189886
2024-10-18,740373.0138189886
2024-10-19,740373.0138189886
2024-10-20,740373.0138189886
2024-10-21,740373.0138189886
2024-10-22,740373.0138189886
2024-10-23,740373.0138189886
2024-10-24,740373.0138189886
2024-10-25,740373.0138189886
2024-10-26,740373.0138189886
2024-10-27,740373.0138189886
2024-10-28,740373.0138189886
2024-10-29,740373.0138189886
2024-10-30,740373.0138189886
2024-10-31,740373.0138189886
2024-11-01,740373.0138189886
2024-11-02,740373.0138189886
2024-11-03,740373.0138189886
2024-11-04,740373.0138189886
2024-11-05,740373.0138189886
2024-11-06,740373.0138189886
2024-11-07,740373.0138189886
2024-11-08,740373.0138189886
2024-11-09,740373.0138189886
2024-11-10,740373.0138189886
2024-11-11,740373.0138189886
2024-11-12,740373.0138189886
2024-11-13,740373.0138189886
2024-11-14,740373.0138189886
2024-11-15,740373.0138189886
2024-11-16,740373.0138189886
2024-11-17,740373.0138189886
2024-11-18,740373.0138189886
2024-11-19,740373.0138189886
2024-11-20,740373.0138189886
2024-11-21,740373.0138189886
2024-11-22,740373.0138189886
2024-11-23,740373.0138189886
2024-11-24,740373.0138189886
2024-11-25,740373.0138189886
2024-11-26,740373.0138189886
2024-11-27,740373.0138189886
2024-11-28,740373.0138189886
2024-11-29,740373.0138189886
2024-11-30,740373.0138189886
2024-12-01,740373.0138189886
2024-12-02,740373.0138189886
2024-12-03,740373.0138189886
2024-12-04,740373.0138189886
2024-12-05,740373.0138189886
2024-12-06,740373.0138189886
2024-12-07,740373.0138189886
2024-12-08,740373.0138189886
2024-12-09,740373.0138189886
2024-12-10,740373.0138189886
2024-12-11,740373.0138189886
2024-12-12,740373.0138189886
2024-12-13,740373.0138189886
2024-12-14,740373.0138189886
2024-12-15,740373.0138189886
2024-12-16,740373.0138189886
2024-12-17,740373.0138189886
2024-12-18,740373.0138189886
2024-12-19,740373.0138189886
2024-12-20,740373.0138189886
2024-12-21,740373.0138189886
2024-12-22,740373.0138189886
2024-12-23,740373.0138189886
2024-12-24,740373.0138189886
2024-12-25,740373.0138189886
2024-12-26,740373.0138189886
2024-12-27,740373.0138189886
2024-12-28,740373.0138189886
2024-12-29,740373.0138189886
2024-12-30,740373.0138189886
2024-12-31,740373.0138189886
2025-01-01,740373.0138189886
2025-01-02,740373.0138189886
2025-01-03,740373.0138189886
2025-01-04,740373.0138189886
2025-01-05,740373.0138189886
2025-01-06,740373.0138189886
2025-01-07,740373.0138189886
2025-01-08,740373.0138189886
2025-01-09,740373.0138189886
2025-01-10,740373.0138189886
2025-01-11,740373.0138189886
2025-01-12,740373.0138189886
2025-01-13,740373.0138189886
2025-01-14,740373.0138189886
2025-01-15,740373.0138189886
2025-01-16,740373.0138189886
2025-01-17,740373.0138189886
2025-01-18,740373.0138189886
2025-01-19,740373.0138189886
2025-01-20,740373.0138189886
2025-01-21,740373.0138189886
2025-01-22,740373.0138189886
2025-01-23,740373.0138189886
2025-01-24,740373.0138189886
2025-01-25,740373.0138189886
2025-01-26,740373.0138189886
2025-01-27,740373.0138189886
2025-01-28,740373.0138189886
2025-01-29,740373.0138189886
2025-01-30,740373.0138189886
2025-01-31,740373.0138189886
2025-02-01,740373.0138189886
2025-02-02,740373.0138189886
2025-02-03,740373.0138189886
2025-02-04,740373.0138189886
2025-02-05,740373.0138189886
2025-02-06,740373.0138189886
2025-02-07,740373.0138189886
2025-02-08,740373.0138189886
2025-02-09,740373.0138189886
2025-02-10,740373.0138189886
2025-02-11,740373.0138189886
2025-02-12,740373.0138189886
2025-02-13,740373.0138189886
2025-02-14,740373.0138189886
2025-02-15,740373.0138189886
2025-02-16,740373.0138189886
2025-02-17,740373.0138189886
2025-02-18,740373.0138189886
2025-02-19,740373.0138189886
2025-02-20,740373.0138189886
2025-02-21,740373.0138189886
2025-02-22,740373.0138189886
2025-02-23,740373.0138189886
2025-02-24,740373.0138189886
2025-02-25,740373.0138189886
2025-02-26,740373.0138189886
2025-02-27,740373.0138189886
2025-02-28,740373.0138189886
2025-03-01,740373.0138189886
2025-03-02,740373.0138189886
2025-03-03,740373.0138189886
2025-03-04,740373.0138189886
2025-03-05,740373.0138189886
2025-03-06,740373.0138189886
2025-03-07,740373.0138189886
2025-03-08,740373.0138189886
2025-03-09,740373.0138189886
2025-03-10,740373.0138189886
2025-03-11,740373.0138189886
2025-03-12,740373.0138189886
2025-03-13,740373.0138189886
2025-03-14,740373.0138189886
2025-03-15,740373.0138189886
2025-03-16,740373.0138189886
2025-03-17,740373.0138189886
2025-03-18,740373.0138189886
2025-03-19,740373.0138189886
2025-03-20,740373.0138189886
2025-03-21,740373.0138189886
2025-03-22,740373.0138189886
2025-03-23,740373.0138189886
2025-03-24,740373.0138189886
